name,address,postal_code,lat,lon,service_category,type
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DANDURAND,"2425, rue Dandurand",H2G2A1,45.54410171508789,-73.5813980102539,community_service_211,Disability/Autism
FOYER DE GROUPE DORNAL,"4912, avenue Dornal",H3W1W2,45.487098693847656,-73.627197265625,community_service_211,Youth rehab
CENTRE D'ACTIVITÉS DE JOUR OPTION,"219, avenue Labrosse",H9R1A3,45.46989822387695,-73.8041000366211,community_service_211,Disability/Autism
ATELIER DE TRAVAIL ET CENTRE D'ACTIVITÉS DE JOUR BENNY,"2221, avenue Benny",H4B2R5,45.46369934082031,-73.62349700927734,community_service_211,Disability/Autism
CENTRE D'HÉBERGEMENT J.-HENRI-CHARBONNEAU,"3095, rue Sherbrooke Est",H1W1B2,45.542701721191406,-73.55879974365234,community_service_211,Hospital
CENTRE DE RÉADAPTATION EN DÉPENDANCE ET DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME LOUVAIN,"950, rue de Louvain Est",H2M2E8,45.55390167236328,-73.64839935302734,community_service_211,Addiction; Disability/Autism
CENTRE DE RÉADAPTATION EN DÉPENDANCE SAINT-URBAIN,"3530, rue Saint-Urbain",H2X2N7,45.51190185546875,-73.5728988647461,community_service_211,Addiction
CENTRE DE RÉADAPTATION EN DÉPENDANCE PRINCE-ARTHUR,"110, rue Prince-Arthur Ouest",H2X1S7,45.51240158081055,-73.57369995117188,community_service_211,Addiction
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION ESPLANADE,"204, boulevard Gouin Ouest",H3L1J6,45.477901458740234,-73.8678970336914,community_service_211,Youth rehab
PAVILLON RACHEL-TOURIGNY,"5305, boulevard de l'Assomption",H1T2M4,45.57400131225586,-73.55680084228516,community_service_211,Hospital
CHU SAINTE-JUSTINE,"3175, chemin de la Côte-Sainte-Catherine",H3T1C5,45.50320053100586,-73.6249008178711,community_service_211,Hospital
HÔPITAL NEUROLOGIQUE DE MONTRÉAL,"3801, rue University",H3A2B4,45.50899887084961,-73.5813980102539,community_service_211,Hospital
