name,lat,lon,service_category,address,type,source
Les résidences Le Tournesol,45.537308,-73.671165,community_service_211,,group_home,openstreetmap
Résidence Snowdon,45.493111,-73.625888,community_service_211,4329 Avenue Isabella,group_home,openstreetmap
Résidence au Fil de l’Eau,45.63004,-73.619547,community_service_211,,group_home,openstreetmap
CHSLD Marie-Rollet,45.573418,-73.575777,community_service_211,,nursing_home,openstreetmap
Résidence Anjou sur le Lac,45.606061,-73.588773,community_service_211,,group_home,openstreetmap
Villa Ukrainienne,45.552574,-73.586606,community_service_211,,group_home,openstreetmap
Centre d’hébergement de la Marée,45.630119,-73.61913,community_service_211,,nursing_home,openstreetmap
Manoir de l'Acadie,45.534824,-73.683984,community_service_211,,group_home,openstreetmap
Résidence Sault-au-Récollet,45.587424,-73.652105,community_service_211,,group_home,openstreetmap
Résidence Portofino,45.585234,-73.651994,community_service_211,,group_home,openstreetmap
Résidence L'Alto,45.50568,-73.674381,community_service_211,,group_home,openstreetmap
"Groupe Maurice, Les Verrières du Golf",45.51387,-73.70944,community_service_211,,group_home,openstreetmap
Résidence Ville-Marie,45.526615,-73.561724,community_service_211,,group_home,openstreetmap
Résidence Rosalie-Cadron,45.528498,-73.721818,community_service_211,,group_home,openstreetmap
Le Sommet de la Rive,45.468738,-73.563407,community_service_211,3501 Boulevard Gaétan-Laberge,group_home,openstreetmap
Place Lacordaire,45.582996,-73.582629,community_service_211,,group_home,openstreetmap
Résidence Lepage,45.454917,-73.58677,community_service_211,,group_home,openstreetmap
Résidence Sheppard et James,45.490277,-73.637719,community_service_211,,group_home,openstreetmap
Résidence Shepphard et James Victoria,45.492311,-73.633494,community_service_211,5700 Avenue Victoria,group_home,openstreetmap
Manoir du Soleil Levant,45.587941,-73.635596,community_service_211,,group_home,openstreetmap
Résidence Saint-Denis d'Ahuntsic,45.553485,-73.667706,community_service_211,,group_home,openstreetmap
Manoir D'Amour,45.43199,-73.642976,community_service_211,,group_home,openstreetmap
Résidence Rosemont SEC,45.541965,-73.589858,community_service_211,,group_home,openstreetmap
Résidences Le 1615 et Le 1625,45.567122,-73.663085,community_service_211,,group_home,openstreetmap
Manoir Belle Époque,45.569867,-73.659197,community_service_211,,group_home,openstreetmap
Résidence Outremont,45.519225,-73.609026,community_service_211,,group_home,openstreetmap
Les Résidences Confort D.Charles - Sainte-Claire,45.605072,-73.522262,community_service_211,,group_home,openstreetmap
La Résidence Fulford,45.494791,-73.577735,community_service_211,,group_home,openstreetmap
Les Jardins de Jouvence,45.599504,-73.522143,community_service_211,,group_home,openstreetmap
Résidence Lachapelle,45.55757,-73.53103,community_service_211,,group_home,openstreetmap
Résidence du Jardin Botanique,45.560719,-73.574546,community_service_211,,group_home,openstreetmap
Lux Gouverneur,45.570982,-73.549064,community_service_211,,group_home,openstreetmap
Résidence Les Tours Gouin,45.62846,-73.620696,community_service_211,,group_home,openstreetmap
Les Habitations Pelletier,45.598063,-73.638965,community_service_211,,group_home,openstreetmap
"Chartwell, Bois-de-Boulogne",45.536752,-73.669349,community_service_211,,group_home,openstreetmap
Résidence LaSalle,45.430093,-73.61309,community_service_211,,group_home,openstreetmap
Manoir Gouin,45.529243,-73.722988,community_service_211,,group_home,openstreetmap
Les Résidences Soleil Pointe-aux-Trembles,45.665425,-73.492599,community_service_211,,group_home,openstreetmap
Résidence Jean-Placide-Desrosiers,45.446587,-73.646317,community_service_211,,group_home,openstreetmap
"Chartwell, Belvédères de Lachine",45.435365,-73.690831,community_service_211,,group_home,openstreetmap
CSH-HCN Lessee (Pointe-aux-Trembles),45.658237,-73.51217,community_service_211,,group_home,openstreetmap
Résidence Cavalier de Lasalle,45.425396,-73.609831,community_service_211,,group_home,openstreetmap
Le Symbiose,45.591583,-73.533924,community_service_211,,group_home,openstreetmap
Résidence Lionel-Bourdon,45.644871,-73.574731,community_service_211,,group_home,openstreetmap
Centre d'hébergement de Saint-Henri,45.469653,-73.594136,community_service_211,,nursing_home,openstreetmap
Famijeunes,45.478376,-73.58289,community_service_211,3904 Rue Notre-Dame Ouest,community_centre,openstreetmap
Maison Valeo Pierrefonds,45.489868,-73.845912,community_service_211,,nursing_home,openstreetmap
Rêvanous,45.548151,-73.65769,community_service_211,,outreach,openstreetmap
Centre APpleton,45.502471,-73.635375,community_service_211,6585 Chemin de la Côte-des-Neiges,community_centre,openstreetmap
MultiCaf,45.502557,-73.63478,food_bank,3591 Avenue Appleton,food_bank,openstreetmap
Grupo Alcoholicos Anonimos Una Luz en Montreal,45.534529,-73.616662,community_service_211,29A Avenue Shamrock,community_centre,openstreetmap
Le Quartier des Générations,45.567431,-73.661497,community_service_211,1675 Boulevard Gouin Est,group_home,openstreetmap
Résidence Bonsecours,45.482408,-73.613726,community_service_211,5015 Avenue Notre-Dame-de-Grâce,group_home,openstreetmap
Syndicat des cols bleus regroupés de Montréal,45.556577,-73.625654,community_service_211,8455 Avenue Papineau,social_centre,openstreetmap
Centre Communautaire Darlington,45.509989,-73.630139,community_service_211,2876 Rue Goyer,community_centre,openstreetmap
CCSE Maisonneuve,45.553812,-73.540479,community_service_211,4375 Rue Ontario Est,social_facility,openstreetmap
Chalet du parc Willibrord,45.459224,-73.574479,community_service_211,,community_centre,openstreetmap
Centre de Don Renaissance,45.551499,-73.620347,community_service_211,1460 Rue Jarry Est,social_facility,openstreetmap
Pavillon d'accueil du Parcours Gouin,45.55748,-73.672673,community_service_211,10905 Rue Basile-Routhier,community_centre,openstreetmap
Maison de la culture Ahuntsic,45.553472,-73.66257,community_service_211,10300 Rue Lajeunesse,community_centre,openstreetmap
Carrefour Jeunesse Emploi Ahuntsic-Bordeaux-Cartierville,45.555571,-73.669948,community_service_211,10794 Rue Lajeunesse,outreach,openstreetmap
Maison des jeunes d'Ahuntsic,45.555564,-73.669921,community_service_211,10794 Rue Lajeunesse,outreach,openstreetmap
Hébergements Péloquin,45.55939,-73.667385,community_service_211,900 Boulevard Gouin Est,day_care,openstreetmap
Centre communautaire Lasalle,45.425915,-73.657066,community_service_211,15 Avenue Highlands,community_centre,openstreetmap
Centre récréatif et communautaire de LaSalle,45.433158,-73.635904,community_service_211,8700 Rue Hardy,community_centre,openstreetmap
Centre communautaire Saint-Raymond,45.469608,-73.608354,community_service_211,,community_centre,openstreetmap
Centre communautaire et culturel Doux Refuge,45.581069,-73.651857,community_service_211,2825 Boulevard Henri-Bourassa Est,community_centre,openstreetmap
Cercle des fermières d'Ahuntsic,45.576562,-73.646261,community_service_211,2574 Rue Fleury Est,community_centre,openstreetmap
Centre communautaire de la Savane,45.498153,-73.653951,community_service_211,5111 Rue Paré,community_centre,openstreetmap
