ct_code,dguid,centroid_lon,centroid_lat
4620903.14,2021S05074620903.14,-73.326996,45.612645
4620652.06,2021S05074620652.06,-73.862294,45.530005
4620652.07,2021S05074620652.07,-73.828537,45.534441
4620523.00,2021S05074620523.00,-73.826592,45.500286
4620530.00,2021S05074620530.00,-73.806698,45.505886
4620540.00,2021S05074620540.00,-73.869337,45.480547
4620570.00,2021S05074620570.00,-73.528496,45.629312
4620583.00,2021S05074620583.00,-73.500444,45.643352
4620584.00,2021S05074620584.00,-73.502423,45.638349
4620592.00,2021S05074620592.00,-73.557841,45.60698
4620511.01,2021S05074620511.01,-73.787481,45.509081
4620511.02,2021S05074620511.02,-73.770417,45.503743
4620830.03,2021S05074620830.03,-73.553476,45.398085
4620830.04,2021S05074620830.04,-73.557622,45.390783
4620612.00,2021S05074620612.00,-73.629798,45.590299
4620613.00,2021S05074620613.00,-73.637469,45.58201
4620614.00,2021S05074620614.00,-73.646389,45.585112
4620615.00,2021S05074620615.00,-73.641009,45.590025
4620616.00,2021S05074620616.00,-73.635484,45.596501
4620618.00,2021S05074620618.00,-73.640215,45.601945
4620619.00,2021S05074620619.00,-73.64916,45.590037
4620626.00,2021S05074620626.00,-73.622161,45.65124
4620627.00,2021S05074620627.00,-73.651596,45.619274
4620629.00,2021S05074620629.00,-73.667055,45.586842
4620631.00,2021S05074620631.00,-73.683375,45.633755
4620633.00,2021S05074620633.00,-73.680512,45.582501
4620634.00,2021S05074620634.00,-73.678371,45.571336
4620635.00,2021S05074620635.00,-73.682084,45.565918
4620636.00,2021S05074620636.00,-73.692873,45.58043
4620639.00,2021S05074620639.00,-73.691082,45.555182
4620640.00,2021S05074620640.00,-73.709771,45.547639
4620642.00,2021S05074620642.00,-73.738843,45.580127
4620644.00,2021S05074620644.00,-73.726476,45.548659
4620645.00,2021S05074620645.00,-73.744014,45.547698
4620648.00,2021S05074620648.00,-73.755306,45.534771
4620653.00,2021S05074620653.00,-73.853918,45.518412
4620654.00,2021S05074620654.00,-73.876164,45.526589
4620662.00,2021S05074620662.00,-73.630919,45.678309
4620675.00,2021S05074620675.00,-73.462261,45.721403
4620683.00,2021S05074620683.00,-73.490814,45.725735
4620706.00,2021S05074620706.00,-73.834811,45.633092
4620707.00,2021S05074620707.00,-73.840326,45.640865
4620729.00,2021S05074620729.00,-73.893399,45.535937
4620731.00,2021S05074620731.00,-73.972792,45.500159
4620801.00,2021S05074620801.00,-73.742598,45.369378
4620802.00,2021S05074620802.00,-73.761353,45.379612
4620829.00,2021S05074620829.00,-73.539709,45.374155
4620832.00,2021S05074620832.00,-73.67211,45.384934
4620851.00,2021S05074620851.00,-73.283831,45.452375
4620755.01,2021S05074620755.01,-74.010844,45.354857
4620856.00,2021S05074620856.00,-73.410716,45.527121
4620859.00,2021S05074620859.00,-73.456188,45.473824
4620861.00,2021S05074620861.00,-73.484389,45.491004
4620862.00,2021S05074620862.00,-73.494979,45.481593
4620864.00,2021S05074620864.00,-73.512491,45.509095
4620865.00,2021S05074620865.00,-73.495122,45.508018
4620866.00,2021S05074620866.00,-73.494144,45.497738
4620867.00,2021S05074620867.00,-73.476431,45.501335
4620869.00,2021S05074620869.00,-73.449797,45.511045
4620872.00,2021S05074620872.00,-73.482818,45.51045
4620874.00,2021S05074620874.00,-73.474617,45.532421
4620875.00,2021S05074620875.00,-73.46723,45.529271
4620878.00,2021S05074620878.00,-73.486517,45.535805
4620880.00,2021S05074620880.00,-73.498062,45.526243
4620882.00,2021S05074620882.00,-73.49952,45.515503
4620883.00,2021S05074620883.00,-73.513955,45.518366
4620885.00,2021S05074620885.00,-73.500432,45.543503
4620900.00,2021S05074620900.00,-73.216165,45.555877
4620902.00,2021S05074620902.00,-73.233051,45.547179
4621000.00,2021S05074621000.00,-73.48358,45.849485
4621001.00,2021S05074621001.00,-73.507043,45.848199
