ï»¿Dissemination Area (DA),Province or territory,Dimension 1 Scores,Dimension 2 Scores,Dimension 3 Scores,Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension,da_str
24580250,Quebec,-0.70994,-0.56273,-0.30316,-0.75951,-0.58383,1,Dimension 3,24580250
24580251,Quebec,-0.38081,-0.11861,-0.36996,-1.10809,-0.49437,1,Dimension 2,24580251
24580252,Quebec,-0.21213,0.44035,-0.61923,-0.80843,-0.29986,2,Dimension 2,24580252
24580253,Quebec,-0.01324,-0.16948,-0.65204,-0.92457,-0.43983,2,Dimension 1,24580253
24580254,Quebec,0.04752,1.32905,-0.89335,-0.00168,0.12038,4,Dimension 2,24580254
24580255,Quebec,0.05972,-0.0484,-0.69242,0.34814,-0.08324,3,Dimension 4,24580255
24580256,Quebec,0.17294,0.19097,-0.62209,0.66843,0.10256,4,Dimension 4,24580256
24580257,Quebec,-0.69079,-0.34713,-0.85945,-1.22835,-0.78143,1,Dimension 2,24580257
24580258,Quebec,-0.32507,-0.41234,-0.27371,0.34375,-0.16684,3,Dimension 4,24580258
24580259,Quebec,1.12256,-0.07632,2.14857,1.07195,1.06669,5,Dimension 3,24580259
24580260,Quebec,1.53706,-0.20016,1.56888,1.02504,0.98271,5,Dimension 3,24580260
24580261,Quebec,-0.33491,0.05574,-0.60449,-1.13176,-0.50385,1,Dimension 2,24580261
24580262,Quebec,-0.02531,0.16348,-0.11997,0.98895,0.25179,4,Dimension 4,24580262
24580263,Quebec,-0.10732,-0.65134,0.40534,0.0647,-0.07216,3,Dimension 3,24580263
24580264,Quebec,0.08707,0.10046,0.30097,1.68236,0.54271,5,Dimension 4,24580264
24580265,Quebec,0.29197,0.27415,0.37494,0.43027,0.34283,4,Dimension 4,24580265
24580266,Quebec,0.24505,-0.48125,0.27799,0.54255,0.14608,4,Dimension 4,24580266
24580267,Quebec,1.18901,-0.9389,0.87434,1.43789,0.64058,5,Dimension 4,24580267
24580268,Quebec,0.46431,-0.06796,1.07926,1.16295,0.65964,5,Dimension 4,24580268
24580269,Quebec,0.82772,1.23125,-0.12925,0.73244,0.66554,5,Dimension 2,24580269
24580271,Quebec,-0.06797,-0.57357,-0.75291,0.04891,-0.33639,2,Dimension 4,24580271
24580273,Quebec,-0.36501,-0.1462,-1.17124,-0.23829,-0.48019,1,Dimension 2,24580273
24580274,Quebec,-0.58141,-0.36755,-0.93598,-0.79494,-0.66997,1,Dimension 2,24580274
24580275,Quebec,-0.5979,-0.36872,-1.10848,-1.18594,-0.81526,1,Dimension 2,24580275
24580276,Quebec,-0.58519,-0.62958,-0.9446,-1.77893,-0.98457,1,Dimension 1,24580276
24580277,Quebec,-0.36957,-0.30516,-1.19608,-0.11382,-0.49616,1,Dimension 4,24580277
24580278,Quebec,-0.16883,-0.10685,-0.92866,0.39142,-0.20323,3,Dimension 4,24580278
24580279,Quebec,-0.45412,-0.78455,-0.94559,-0.68466,-0.71723,1,Dimension 1,24580279
24580280,Quebec,-0.51679,-0.53535,-1.11593,-0.5707,-0.68469,1,Dimension 1,24580280
24580281,Quebec,-0.03918,1.01677,-0.98731,-0.42195,-0.10792,3,Dimension 2,24580281
24580282,Quebec,0.04468,0.29551,-0.99302,0.40405,-0.06219,3,Dimension 4,24580282
24580284,Quebec,-0.30318,0.65906,-0.17623,-0.4649,-0.07131,3,Dimension 2,24580284
24580285,Quebec,-0.09096,-0.54053,-0.34585,-0.48938,-0.36668,2,Dimension 1,24580285
24580286,Quebec,-0.49687,-0.14218,-0.20832,-1.23331,-0.52017,1,Dimension 2,24580286
24580287,Quebec,-0.17268,0.58066,-0.06473,-0.05059,0.07317,4,Dimension 2,24580287
24580288,Quebec,-0.24487,0.1693,-0.25014,-0.61775,-0.23587,2,Dimension 2,24580288
24580289,Quebec,-0.13923,-0.04782,-0.29188,-0.41518,-0.22353,2,Dimension 2,24580289
24580290,Quebec,0.14001,-0.05214,-0.90527,-0.62013,-0.35938,2,Dimension 1,24580290
24580293,Quebec,-0.3158,-1.04398,-0.37153,-0.21606,-0.48684,1,Dimension 4,24580293
24580294,Quebec,0.09787,0.43543,0.29696,-0.10488,0.18134,4,Dimension 2,24580294
