ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4620903.14,2021S05074620903.14,4620903.14,2696,4,33.2,0,0,9.41,2.29,50,2180
4620904.02,2021S05074620904.02,4620904.02,5306,7.7,22.4,1.02,0,13.29,0.81,40,4920
4620904.03,2021S05074620904.03,4620904.03,4598,3.5,10.5,0.53,0.11,7.32,1.39,65,4690
4620904.04,2021S05074620904.04,4620904.04,3541,3.8,17.9,0,0,6.72,0.72,25,3450
4620904.05,2021S05074620904.05,4620904.05,3553,5.5,21.8,0.43,0.28,8.68,1.44,50,3465
4620904.06,2021S05074620904.06,4620904.06,4200,1.7,9.4,0,0,5.79,1.64,70,4275
4620926.01,2021S05074620926.01,4620926.01,5742,9.3,24.6,0.55,0.18,17.23,1.57,85,5415
4620926.02,2021S05074620926.02,4620926.02,4544,6.6,19.6,0.22,0.11,10.51,1.87,85,4535
4620929.01,2021S05074620929.01,4620929.01,3850,4,19.7,1.57,0.13,9.21,1.44,55,3830
4620929.02,2021S05074620929.02,4620929.02,4629,5.2,12.3,0.86,0,11.71,0.54,25,4650
4620930.02,2021S05074620930.02,4620930.02,9267,5.7,22.3,0.5,0.17,12.06,0.95,85,8970
4620930.03,2021S05074620930.03,4620930.03,2577,3.4,22.7,0.58,0,9.84,0.0,0,2570
4620930.04,2021S05074620930.04,4620930.04,7015,6.6,24.7,0.3,0.21,9.66,1.55,105,6770
4621000,2021S05074621000.00,4621000,5575,11.8,14.3,0,0.09,14.66,3.64,200,5490
4621001,2021S05074621001.00,4621001,3308,9.1,14.7,0.3,0,12.25,2.42,80,3300
4621002,2021S05074621002.00,4621002,5759,7,20.4,0.35,0,9.07,0.78,45,5770
4621003,2021S05074621003.00,4621003,7473,6.4,19.1,0.49,0.21,8.97,1.6,115,7200
4621004,2021S05074621004.00,4621004,5643,6.9,14.3,0.18,0.09,10.19,2.32,130,5615
4621005,2021S05074621005.00,4621005,9618,6.8,18,0.26,0.26,15.06,2.04,195,9580
4621006.01,2021S05074621006.01,4621006.01,7524,13.1,18.5,0.2,0.34,15.37,2.58,190,7370
4621006.02,2021S05074621006.02,4621006.02,7154,10,10.3,0.28,0.21,14.02,2.34,165,7065
4621006.03,2021S05074621006.03,4621006.03,9352,7.6,7.7,0.64,0.11,13.07,1.86,175,9430
